애견카페히릿 건대점,서울,서울특별시 광진구 화양동 111-72 3층,,애견전용,"음료미포함 입장료 7,500 | 음료포함 입장료 9,000 | 애견수제간식 小 3,000",매일 11:00~22:00,http://cafehirit.modoo.at/,"초소형견부터 초대형견까지 다양한 견종들을 만나보실 수 있습니다.
애견카페 히릿에서 사랑스러운 강아지들과 힐링하고 가세요^^
애견놀이방, 호텔 운영합니다.",https://ldb-phinf.pstatic.net/20161219_44/1482132766466FrBy4_JPEG/177169566266344_0.jpeg,37.54696406,127.0744422
,,,,,,,,,,,
더귀여워 애견카페,서울,서울특별시 마포구 서교동 409-1,,애견전용,"아메리카노 8,000 | 카페라떼 9,000 | 캬라멜마끼아또 9,000 | 바닐라라떼 9,000 | 아이스티 8,000 | 페리에 8,000 | 탄산음료 8,000 | 사과주스 8,000 | 초콜렛라떼 9,000 | 레모네이드 10,000 | 자몽에이드 10,000 | 레몬차 9,000 | 자몽차 9,000 | 페퍼민트 9,000 | 카모마일 9,000 | 얼그레이 9,000",매일 12:30~21:00,http://instagram.com/thecute_hongdae,"깔끔하고 넓은 홍대 애견카페 THE 귀여워입니다.

The 귀여워 이용안내

- 애견동반 불가
   안전 문제로 외부견의 입장이 불가합니다.

- 주차공간
   매장 전용 주차장이 없습니다.
   가까운 공영주차장 이용해 주세요.

- 키즈 에티켓
   13세 미만의 어린이는 부모님과 입장 가능합니다.
   각별한 주의 부탁드리며 부주의로 인한 사고
   발생 시 책임지지 않습니다.

- 외부 음식, 외부 간식 반입 금지입니다.
   카운터에 맡겨주세요.

- 이용 시간
   다음 손님을 위하여 이용 시간 2시간으로 제한됨을
   안내드립니다.
    <시간 연장을 원하시는 분은 재주문 후 이용
     해주시길 바랍니다.>",https://ldb-phinf.pstatic.net/20200701_88/1593591063368K3uAf_JPEG/I5w7mBo9VKhr6Q-rYz26pJLE.jpg,37.55005712,126.9221109
,,,,,,,,,,,
겨울이 머무는 집,서울,서울특별시 마포구 서교동 409-18,0507-1315-9151,애견전용,"입장료(음료 미포함) 12,000",매일 13:00~22:00,,"1. 겨울이 머무는 집은 애견동반카페가 아닙니다. 외부견의 출입은 절대 불가합니다.
2. 안전사고 예방을 위해 10세(초등학교 3학년)부터 입장이 가능하며 초등학생은 보호자 동반시에만 입장만 가능합니다. 임산부 등 노약자의 출입이 제한됩니다.
3. 주차는 안됩니다.
4. 아이들이 실외에서 배변활동을 하는 시간에는 출입이 통제됩니다.
    ( 14:50~15:10 / 17:20~17:40 / 19:30~19:50 내부 사정에 따라 시간은 변동될 수 있습니다.)
5. 20시 30분 부터는 아이들의 산책시간으로 소란스러울 수 있으니 양해부탁드립니다.",https://ldb-phinf.pstatic.net/20210520_277/1621492591538nnboF_PNG/9h3WPVO7cqmXtPE8xkpjOeC8.png,37.54995459,126.9218385
,,,,,,,,,,,
더왈츠,서울,서울특별시 강남구 역삼동 834-8,,애견전용,"아메리카노 12,000 | 카페라떼 13,000 | 바닐라라떼 14,000 | 카라멜마끼아또 14,000 | 카페모카 14,000 | 에이드 14,000 | 스무디 15,000 | 초코라떼 14,000 | 그린티라떼 14,000 | 고구마라떼 14,000 | 민트초코라떼 14,000 | 과일티 14,000 | 허브티 14,000",매일 12:00~21:00 애견카페 이용시간 | 매일 08:00~21:30 애견위탁 이용시간,http://cafe.naver.com/thewalz,강남에서 가장 오래된 반려견카페 더왈츠는 언제나 고객들과 반려견들이 행복한 공간을 만들기 위해 노력하고 있습니다.,https://ldb-phinf.pstatic.net/20180402_240/1522677111470vKYxy_JPEG/VuEnIeyUh6mVJM-zvomgQ8Jl.JPG.jpg,37.49413412,127.034306
,,,,,,,,,,,
애니멀고파크 삼성점,서울,서울특별시 강남구 삼성동 60-24,0507-1438-5961,애견전용,"아메리카노 6,800 | 카페라떼 7,500 | 강아지목욕 변동가격(업주문의) | 강아지미용 33,000 | 강아지호텔 25,000",매일 10:00~23:00,http://animalgo.io,"[애니멀고 X LG U+] 제휴 이벤트 진행중^^
VIP 구독 서비스 혜택이 팡팡!
(매월 호텔, 목욕, 음료, 상품할인 등은 물론, 펫케어IoT까지 준다고?!)

유치원, 카페, 미용, 호텔을 한 곳에서!

도보 3분거리에 공영주차장이 있어 편리합니다.
(공영주차장 주소 : 삼성로 628)

강아지 동반 가능하고, 강아지가 없어도 카페에 놀러오세요!

※전문 훈련사 상주※
애니멀고파크 훈련사들이 강아지별 성격을 체크하고, 세심하게 개별 맞춤교육을 진행합니다.
넓은 놀이공간이 있고, 여름에는 수영장도 오픈합니다*^^*

매일매일 어떤 놀이를 했는지, 어떤 친구들과 놀았는지 꼼꼼한 알림장을 작성하고 있어요.

※이번 여행은 애니멀고 호텔과 함께※
애니멀고 호텔에 아이들을 맡기고 마음편히 휴가를 즐기고 오세요.
프리미엄 펫시터가 상주해, 주야간으로 최고급 수제간식을 제공합니다.
좁은 곳에 갇혀있지 않고 친구들과도 즐겁게 보낼수 있어요.",https://ldb-phinf.pstatic.net/20191231_24/1577759382387MqYp2_PNG/0-aTibcf8TOOkYmBVO7nAIfC.png,37.51809155,127.0539245
,,,,,,,,,,,
