체크인독,서울,서울특별시 금천구 독산동 495-5 4층 체크인독,0507-1379-9630,애견호텔,https://www.youtube.com/channel/UC07_02OnMF0Mf15KrCh-Nqg,"안녕하세요:)
체크인독은 22년 8월 부터 '금천구 독산동' 에서 운영하고 있습니다.

- 호텔링의 경우 최소 7일 전 예약이 가능 합니다.
- 이용 전 상담 / 테스트가 필수 입니다.
- 당일 이용 불가능 하며 100% 예약제로 운영되고 있습니다.
- 주말 / 공휴일에는 상담 및 예약이 불가능 합니다.

※ 120평대 실내운동장 (3개의 독립적인 운동장)
※ 성향별 반 배정 시스템 (소심반 / 활동반 / 활동반+)
※ 100% 예약제 서비스 진행
※ 10kg미만 소형견 전용 공간
※ 호텔링 직원 24시간 상주
※ 슬개골방지 운동장 애견매트 시공
※ 사각지대 없는 CCTV (25대) 실시간 녹화",https://ldb-phinf.pstatic.net/20220502_120/1651490152257Vl0Jq_PNG/%C1%A6%B8%F1-%BE%F8%C0%BDff-1.png,126.8933407,37.4609021,
e.mone애견호텔&애견미용,대구,대구광역시 수성구 범어동 75-5,0507-1374-4746,애견호텔,https://www.instagram.com/e.mone_24,"휴무일 제외 24시 돌봄
NO케이지(특별한 경우 제외)
미끄럼방지매트 시공
24시 CCTV설치",https://ldb-phinf.pstatic.net/20220416_87/1650114062157mp7b3_JPEG/20220415_151805.jpg,128.6402538,35.85596507,
every뽀송 애견호텔,대전,대전광역시 서구 괴정동 423-6 107호 냥멍이샵,0507-1383-5624,애견호텔,https://blog.naver.com/fass77,"플라잉퍼피하우스 애견호텔 은 비숑프리제 전분 켄넬을 10여년 넘게 운영중이며 아이들을 관리 도그쇼에 출전 중입니다.
10여년 넘는 기간동안 여려견종을 훈련.트레이닝.코트 관리한 노하우를 바탕으로 호텔링견 아이들을 24시간 케어 중이며 호텔링견 아이들을 위한 전용 운동장을 운영중입니다!",https://ldb-phinf.pstatic.net/20220719_10/1658215332203CaGys_PNG/%B4%EB%C1%F6_1.png,127.3902718,36.33925306,
SOS애견유치원,경남,경상남도 양산시 북정동  888-5,,애견호텔,,,,129.0405849,35.3586506,
THE발라당고양이호텔,서울,서울특별시 송파구 삼전동 44-8,,애견호텔,http://cafe.naver.com/thebalradang,"11묘 베테랑 집사가 직접 운영하는 깨끗한 고양이호텔♥
고양이들이 즐거운 고양이 호텔♥
믿고 맡길 수 있는 안전한 고양이 호텔♥

사랑하는 고양이 친구들에게 즐거운 호캉스를 선물하세요:)",https://ldb-phinf.pstatic.net/20190307_137/1551932657460ETyeF_JPEG/%C4%B8%C3%B3.JPG,127.0888401,37.50212393,
WALWAL,경남,경상남도 양산시 물금읍 가촌리 1269-5 4층 WALWAL,0507-1353-0194,애견호텔,https://www.walwal.info,"*반려 동물과 가족의 행복한 라이프 밸런스를 약속합니다*
   -애견 유치원, 호텔링, 행동 교정 전문 서비스 시설-

 1. 150평 규모의 넓은 실내 유치원 시설
 2. 넓고 다양한 룸타입의 호텔객실
 3. 24시간 CCTV 실시간 공유
 4. 야외 산책
    (실내에 있는 인조 잔디보다, 흙냄새를 원한답니다)
    인조잔디는 보기 좋은 떡이에요!
    물론...저희도 있긴 합니다 ^^
 5. 행동 교정 서비스
      (사람 유치원에서도 훈육과 지도에 비용을
      따로받지 않아요)
 6. 등.하원 서비스
 7. 우리 아이가 WALWAL유치원에 다니는 것이
     자랑이 되도록 하겠습니다.

※ 연중무휴 08:00~19:00
※ 상담.가맹 문의 070-4417-0121",https://ldb-phinf.pstatic.net/20220116_154/1642311841306GIvsy_JPEG/KakaoTalk_20220116_140437171.jpg,128.9999326,35.31850005,
강아지놀이터,경북,경상북도 구미시 산동읍 신당리 1458,0507-1312-5899,애견호텔,http://instagram.com/lovable__puppy,"안녕하세요 구미 산동 확장단지에 위치해있는 강아지놀이터 입니다
100프로 예약제로 운영하며 반려견호텔 및 유치원을 우선으로 운영하고 있습니다
픽업시간 오전9시 오후6시( 하루 두번 운행합니다 )
오픈시간은 오전10시 마감시간 오후 7시 입니다
방문전 꼭 전화주시면 감사드리겠습니다
명절연휴, 공휴일은 정상운영 합니다
유치원아이들은 픽업운행을 주로 많이하는편입니다
궁금하신 사항 또는 예약시 문의주시기 바랍니다",https://ldb-phinf.pstatic.net/20200317_291/1584454244862xKiuj_JPEG/dfgvnQGNl7Ext86_6tycUMiM.jpg,128.4323483,36.15437749,
개꿀잠,전남,전라남도 여수시 여서동 208-5 상가 2층,0507-1330-5523,애견호텔,,"안녕하세요. 저희 '개꿀잠' 은 반려동물 호텔을 운영하고 있는데요. 그래서 저희는 강아지들의 매일이 즐거운 곳으로 만드는 것을 목표로 삼고 있습니다.
또한, 소중한 우리 강아지들의 청결을 위해 추가 비용으로 미용과 목욕을 할 수 있습니다.
저희가 '개꿀잠' 을 만들기 전에 아주 가까이에서 강아지를 맡기질 못해서 여행을 못가시는 분들이 계셨습니다. 
안타까운 마음에 마음 단단히 먹고 차린 '개꿀잠' 을 손님분들의 쉬는 것 및 여행 등 휴식을 위해 강아지를 안심하고 맡길 수 있는 곳으로 기억되도록 만들겠습니다
오직 강아지와 손님분들만을 위한 서비스를 제공하겠습니다. 감사합니다.",https://ldb-phinf.pstatic.net/20220210_91/1644431606725SB0p2_JPEG/%B0%B3%B2%DC%C0%E1_%BA%ED%B7%CE%B1%D7_%BB%E7%C1%F8.jpg,127.7023252,34.75224169,
개놀자,전남,전라남도 목포시 산정동 1044-417 2층,0507-1475-4010,애견호텔,https://www.instagram.com/p/BnKczxyhyly/?utm_source=ig_share_sheet&igshid=1tor1n3ynbpun,당분간 가게운영을 중단합니다. 죄송합니다.,https://ldb-phinf.pstatic.net/20180902_205/1535883202038UcsLm_JPEG/jinpimlTKw8rAI4ZRuUyZwTi.jpg,126.3927993,34.79916511,
개님,경북,경상북도 구미시 산동읍 신당리 1417 탑클래스6층,,애견호텔,http://instagram.com/gaenim2020,"구미 산동 반려견 호텔&유치원&카페 입니다.
- 운영시간
호텔 - 09:30-19:00 입퇴실 가능
유치원 - 09:30-19:00 (08시부터 픽업 가능)
카페 - 코로나로 인해 잠시 중단
- 관리
- 구미 최대 105평 실내공간 반려견 체급별 분리가능
- 실내 전구역 안전한 논슬립 시공
- 반려견의 건강관련 종합관리
- 피부,영양,관절건강 등 각 분야의 전문가 그룹 상주
- 생활속에서의 사회화 및 기본 매너 교육
- 추가금액 없는 아로마 스파 목욕,테이핑
- 세스코 첨단 바이러스케어 시스템 가동
- 지하주차장 주차가능 / 노키즈존",https://ldb-phinf.pstatic.net/20200911_137/1599804790664cy3Ab_JPEG/Qk68abwdNB6rPt3pUM4qOc2O.jpg,128.4304751,36.15581384,
개님살롱,서울,서울특별시 용산구 원효로1가 41,,애견호텔,http://www.gaenimsalon.com,"개님살롱은 반려견을 위한 미용살롱, 호텔, 유치원, 사료/간식/용품판매를 아우르는 프리미엄 복합공간입니다.
고객님의 뜨거운 성원에 힘입어 개님살롱 레이크사이드 (잠실 석촌호수 CJ나인파크 B동 204호)를 신규 오픈하였습니다. 
당신의 소중한 반려견을 위한 프리미엄 서비스를 이제 송파/강남권에서도 경험해보세요. 
- 개님살롱 센트럴: 02-704-9887 (용산)
- 개님살롱 레이크사이드: 02-417-9887 (잠실/송파)

1) 미용살롱@개님살롱:
""아직도 꽉 막힌 좁은 공간에 우리 아이를 맡기시나요? 개님살롱에서는 아이가 이뻐지는 과정을 볼 수 있습니다""
다수의 애견미용 콘테스트 수상실적을 자랑하는 KKF 공인 1급 스타일리스트팀이 100% 오픈 스페이스에서 반려견의 아름다움을 책임지고 있습니다. 

예약제로 운영되며 내방 혹은 아래 연락처로 문의주시면 자세한 상담이 가능합니다.
- 개님살롱 용산센트럴: 02-704-9887
- 개님살롱 레이크사이드: 02-417-9887 

2) 호텔@개님살롱: 
""약품 냄새 가득한 케이지, 좁디 좁은 유리방에 더이상 우리 반려견을 가두지 마세요"" 
- 반려견이 건강하고 안정적인 휴식을 할 수 있도록 최상급 친환경 페인트(벤자민무어)와 신생아실에서 사용하는 아리스탈 마감재, 그리고 자연광에 가까운 LED 간접조명이 어우러진 넓은 호텔룸을 제공합니다. 

예약제로 운영되며 내방 혹은 아래 연락처로 문의주시면 자세한 상담이 가능합니다.
- 개님살롱 용산센트럴: 02-704-9887
- 개님살롱 레이크사이드: 02-417-9887 

3) 유치원@개님살롱:
""혼자 남겨지거나 문제행동을 보이는 반려견이 걱정되신다면, 개님살롱이 정답입니다""
개님살롱은 견종의 크기, 연령, 성향에 따른 맞춤형 유치원 프로그램을 디자인하여 1급 훈련사가 1:1 맞춤형 교육과 안전을 책임지고 있으며 보호자분들의 출퇴근 시간을 고려하여 아침 8시부터 운영하고 있습니다.  

예약제로 운영되며 내방 혹은 아래 연락처로 문의주시면 자세한 상담이 가능합니다.
- 개님살롱 용산센트럴: 02-704-9887
- 개님살롱 레이크사이드: 02-417-9887 

4) 편집샵@개님살롱: 
건강하고 맛있는 먹거리와 안전한 놀이용품, 그리고 실용성과 아름다움을 겸비한 의류/생활용품을 엄선하여 제공하고 있습니다.
동결건조사료의 최고급 제품으로 꼽히는 'RAWZ', 'WOOF', 'NOURISH'와 네추럴오가닉사료의 최고급 제품으로 꼽히는 'Mc ADAMS', 'WELLNESS', 'NOW', 'NATURAL BALANCE', 'ZIWI PEAK', 'AATU' 그리고 애견 아웃도어 명품 브랜드 ""HURTTA""의 용산/송파 지역 공식 판매점으로 선정되는 등 프리미엄 편집숍으로써 자리매김하고 있으며 이외에도 다양한 간식과 용품을 구비하고 있습니다.",https://ldb-phinf.pstatic.net/20180426_150/1524673983167FV4JW_JPEG/a3IIXFRGSap0BSSomvFREVE2.jpg,126.9700964,37.54020993,
개런티,경기,경기도 용인시 처인구 양지면 양지리 630-8,0507-1495-2888,애견호텔,https://blog.naver.com/jungchul1234,"리미티드 키즈존
-반려견을 동반하지 않은 36개월~13세 이하 어린이들은 출입이 제한됩니다.
 반려견을 동반한 경우 어린이 출입이 가능하지만 보호자께서 어린이를 방치할 경우 이유불문 퇴장입니다.

-법정맹견/진도/풍산개 및 입질이 심한 견공은 입장이 제한됩니다.

-음주자는 출입이 제한됩니다.

#양지애견카페 #컨테이너카페 #애견호텔 #애견놀이방 #셀프목욕 #위탁목욕 #상담환영",https://ldb-phinf.pstatic.net/20190614_259/1560497429671Sur2z_JPEG/VBI-6rLHrIqYMboCoenGgTbU.jpg,127.2824257,37.23469108,
개린이집,인천,인천광역시 남동구 만수동 979-5 2층 개린이집,0507-1344-1222,애견호텔,https://blog.naver.com/kkhotjdh1,"애견유치원
애견미용(가위컷전문)
애견호텔
애견장기호텔링및케어서비스
032-465-1222",https://ldb-phinf.pstatic.net/20220507_191/1651885876363uwTdO_JPEG/1651885690548-0.jpg,126.7304484,37.44995846,
개모임,전북,전라북도 군산시 나운동 522-2 3층 개모임,0507-1421-0229,애견호텔,https://blog.naver.com/azmzmra8426,"안녕하세요.
군산 애견 유치원 개모임 입니다!

개모임을 소개하겠습니다.

애견 유치원 & 등 하원 차량 운영
-2013년 3월 군산에서 최초로 개원!
-안전과 신뢰를 위해 등 하원은 원장님이 직접!

전문가 선생님들이 직접 운영
-안전과 신뢰를 위해 전문가들이 직접 돌봄!

소형견 전용 공간
-소, 중, 대형견을 분리 돌봄 할 공간이 없어서
 안전을 위해 소형견만 이용이 가능합니다!
 X절대 차별을 두는 점이 아닙니다X

돌봄 전문기관
-돌봄에 집중하기 위해 돌봄 서비스만 합니다!

안전과 편안함을 주는 시설
-냉난방이 되는, 넓은 호텔 룸!
-뛰어노는 공간에는 애견 전용 매트 설치!

다양한 활동
-여러 가지 재미와 힘을 길러주기 위해
 다양한 활동을 하고 있습니다!

기본 교육 & 위생 관리
-훈련사 원장님이 직접 아이들을 교육합니다!
-미용사 실장님이 직접 아이들을 관리합니다!
-기본 교육 및 위생 관리, 전문가 상담 무료!

일반인 출입 금지
-안전을 중요시하기 때문에 예약 상담 외에는
 출입을 금지하였습니다!

예약 및 문의 : 063)466-0229
                       카톡채널 - 군산개모임",https://ldb-phinf.pstatic.net/20220304_146/16463708805100ebNp_JPEG/%B7%CE%B0%ED%C0%CC%B9%CC%C1%F6.jpg,126.704338,35.96892127,
개바라기,대구,대구광역시 북구 칠성동1가 270-30,,애견호텔,https://instagram.com/dogflower_daegu?utm_medium=copy_link,"오픈 이벤트
- 오픈 이벤트 할인가 적용(정원 초과 시까지)
- 유치원 등록 시 유치원 가방,알림장,이름표 뱃지 증정

유치원
- 50여평 규모의 넓고 쾌적한 공간
- 요일마다 달라지는 다양한 교육, 놀이 활동
- 하루일과와 매일의 견생샷을 알림장을 통해 기록
- 보호자님을 위해 실시간 사진 및 동영상 전송

시스템
- 50여평 규모의 잔디운동장 공간
- 아이들의 안전을 위한 외부인 출입금지,안전문 삼중 잠금장치
- 공기청정기와 환기시설, 냉난방시설 완비
- 아이들의 용품은 매일 살균,소독
- 24시간 CCTV 작동",https://ldb-phinf.pstatic.net/20210701_22/1625066207849sR8gC_JPEG/JiE0tnaJG6mywp19weCGMPTM.jpg,128.6016641,35.87823857,
개와고양이의시간,경기,경기도 고양시 일산동구 풍동 1278-1 7층 701호,0507-1314-6762,애견호텔,https://www.instagram.com/tweety050523,"[예약제 운영 공지안내]

사랑스런 댕댕이와 아늑한 시간을 함께 보내기 위해. 예약제로 운영되고 있습니다. 객실투어는 아이들의 일정관리및 스트레스 관리를 위하여 별도로 진행하지 않고 있으며,  기타 현장상담도 집사와 먼저 전화 상담후 방문 부탁드립니다. 

안녕하세요 개와 고양이의 시간입니다.
 ip카메라를  아이가 오늘 하루를 어떻게 지냈는지 집사들의 일기를 통해서도 아이의 일과를보실 수있어요^^
객실안에서 하루종일 답답해할 아이들을 위한 반려견 외부산책 및 실내 운동장이 준비되어있습니다.

넓은 룸형 객실에 ip카메라로 실시간 아이확인까지가능한 소통하는 반려동물 호텔!! 

개와고양이의시간 많이 이용해주세요~",https://ldb-phinf.pstatic.net/20190207_154/1549507067689P3Qz5_JPEG/PmqL9RT8Et5CQVPaN1PMLtzu.jpg,126.800795,37.66731758,
개의꿈,전남,전라남도 목포시 석현동 815-17 근화네오빌 2차아파트 상가 2층,0507-1363-5140,애견호텔,http://instagram.com/dogofdream1,"안녕하세요~
목포 애견호텔 개의꿈은 견주분들의 응원속에 미용이나, 카페,용품판매 등 다른업무를 겸하지 않고 호텔, 위탁만을 고집하는 위탁공간입니다.
문의시 자세하고 친절한 상담 도움 드리니 부담 느끼지 마시고 전화 주세요.
감사합니다.^^",https://ldb-phinf.pstatic.net/20220218_162/1645187237683SK1r4_JPEG/20220218_185831.jpg,126.4196267,34.82228176,
개인공간,울산,울산광역시 중구 약사동 413-9 3층,0507-1345-2942,애견호텔,https://instagram.com/geain__gonggan?igshid=sc2v7okqrrty,"안녕하세요. 개인공간입니다.
오랜시간 고민끝에
5월 9일부터 카페 영업은
무기한 중단하게 되었습니다.
아이들 케어에 집중하기 위해 내린 결정이에요.
카페 오픈을 기다려주시는 보호자님들께는
너무 죄송한 마음뿐입니다.
돌봄,유치원,호텔,셀프 목욕은 정상운영하오니
유선문의 주세요!
저희가 귀중한 아이들 케어할수있게
믿고 맡겨주시는 보호자님들께
너무 감사드립니다!
항상 부족한 저희를 응원해주셔서 감사해요!

돌봄,유치원,호텔은 예약제로 운영됩니다 :)",https://ldb-phinf.pstatic.net/20200925_225/1601017116427jmpyU_JPEG/lV1dD1m1XCN2F0W9gWEzEv0z.jpg,129.3383636,35.57933875,
개코스,서울,서울특별시 서대문구 연희동 123-6,0507-1486-5595,애견호텔,https://www.instagram.com/p/CQvnPLVHzRo/?utm_medium=copy_link,"안녕하세요 gaekos familly(개코스 패밀리)입니다
연희동에 위치하며 3층건물로 아이들이 뛰어놀고 자연을 느낄 수 있는 지층 넓은 마당, 1층 유치원 호텔, 2-3층은 선생님들이 24시간 상주하고 있습니다
가족 중심으로 따뜻하고 편안한 케어로 스트레스를 줄이고 전문적인 개코스 유치원",https://ldb-phinf.pstatic.net/20210430_22/1619788292181WD9vG_JPEG/dUEr7rMWkyg6iCLCTA0dmXh1.jpg,126.9301164,37.56935896,
