노을공원,서울,서울특별시 마포구 상암동 481-6,,"여행,명소","""강아지동반 산책 가능합니다 골프장을 산책하는기분입니다 하지만 진드기많아요""",http://parks.seoul.go.kr/template/sub/worldcuppark.do,"난지도 제1매립지 약 34만㎡ 에 조성된 노을공원은 애초에 어떻게 개발할 것인지를 두고 가장 논의가 많았던 곳입니다. 
당시 제기되었던 의견들로는 다음과 같은 것들이 있었습니다. 우선 월드컵조직위원회 측이 내세웠던 잔디구장 및 선수숙소로 활용하자는 안, 생태공원 혹은 일반공원으로 조성하는 안,
안정화가 이루어질 때까지 당분간 활용을 보류하는 안, 
그리고 마지막으로 생태공원의 기능을 갖춘 대중골프장으로 조성하는 안이었습니다.

노을공원 총 면적의 57% 정도는 골프장으로 만들어지고 나머지 부분은 자연 식생지, 운동시설 및 산책로 등 시민들이 여가를 즐길 수 있는 공간으로 만들어졌습니다. 


2008.6.17 서울시에서는 골프장을 가족공원으로 전환하기 위하여 그동안 골프장을 운영해 온 국민체육진흥공단과 공동합의하여 2008.11.1 공원으로 개장하였습니다.",https://ldb-phinf.pstatic.net/20140407_96/1396856135513fGips_JPEG/%BC%AD%BF%EF_%B3%EB%C0%BB%B0%F8%BF%F8_1.jpg?type=m500_500,300812,553084
서울숲,서울,서울특별시 성동구 성수동1가 685-20,,"여행,명소","""애견동반 가능하고 산책하기에 아주 좋음""",https://parks.seoul.go.kr/,"서울숲은 문화예술공원, 체험학습원, 생태숲, 습지생태원 네 가지의 특색 있는 공간들로 구성되어 있으며, 한강과 맞닿아 있어 다양한 문화여가공간을 제공합니다.
또한 서울숲공원은 조성부터 프로그램 운영까지 시민의 참여로 이루어진 최초의 공원입니다.

주차안내	070-7119-2893, 1688-1054(24시간)

관람시간
연중무휴 (일부 시설 월요일 휴관)

주소
서울특별시 성동구 뚝섬로 273 (성수동)

전화
02-460-2905",https://ldb-phinf.pstatic.net/20140407_95/13968547640735qgog_JPEG/%BC%AD%BF%EF_%BC%AD%BF%EF%BD%A3_1.JPG?type=m500_500,315235,549300
평화의광장,서울,서울특별시 송파구 방이동 88-1,,"여행,명소","""즐기기에 아낌 없다~~ 운동, 산책(애견동반), 소풍, 촬영 ...""",,,,309778,548796
그랜드유원지,경기,경기도 양주시 장흥면 부곡리 산108-6,,"여행,명소","""강아지 동반해서 아이들과 갔어요~ 비가 많이 오지 않아 ...""",,,,307953,568409
문암생태공원,충북,충청북도 청주시 흥덕구 문암동 122-2,,"여행,명소","""아이동반 산책하기 좋고 애견동반도(현재 애견장 폐쇄) 가능해요.""",http://munam.cheongju.go.kr/,"면적은 21만500㎡로 가족공원, 웰빙공원, 생태공원으로 나누어져 있다.
가족공원은 게이트볼장, 조깅코스, 그라운드골프장, 바닥분수, 야외공연장, 바베큐장, 캠핑장 등으로 꾸며져 있고, 웰빙공원은 농구장, 배구장, 족구장, 건강숲체험장, 테마 웰빙숲으로 만들어졌으며 생태공원은 생태관찰테크, 생태습지원, 수목원, 야생원, 생태탐방로 꾸며져 있다.",https://ldb-phinf.pstatic.net/20170906_225/1504665349685FV4qU_JPEG/EgIjKBrhBgRQCBsgh325X6N6.jpg,350838,452734
팔당물안개공원,광주,경기도 광주시 남종면 귀여리 596,,"여행,명소","""강아지동반가능한 최고의 공원""",,,http://blogfiles.naver.net/MjAxODA3MTFfMjk0/MDAxNTMxMzE2NTgwMTY4.gFWgQleRFbhEAttGLpMvGjbu-xV3v6n8001RFixCqH8g.-oz1RvuGzBee7wiFNzA4NXQXHCqfwXRPlE50jdkLjPMg.JPEG.ktbong00/180707_%B1%CD%BF%A9%BC%B6_%C0%B0%B5%CE%B8%B7_-_02.jpg#934x623,339647,545628
평강랜드,경기,경기도 포천시 영북면 산정리 728,,"여행,명소","""좋아요 반려견도 동반되고 아이들과 함께 즐길거리도 많구요""",https://www.instagram.com/peacelandkorea,"부지면적 595,542m(18만여 평)이며, 1999년 8월 착공하여 2006월 5월 개원하였다. 자연생태계 복원, 인간의 건강과 평안 회복을 위하여 건립한 식물원으로, 명칭도 평안과 건강에서 따왔다. 암석원,고층습지,고산습원,습지원,들꽃동산,만병초원,연못정원,이끼원,자생식물원,고사리원,화이트가든,잔디광장 등 12개의 테마로 조성되었다.

아시아 최대 규모의 암석원은 특수한 조성기법으로 고산식물의 자생지에 맞는 생태를 재현하였으며, 백두산,한라산 등 국내의 산을 비롯하여 히말라야산맥,알프스산맥,로키산맥 등 전 세계의 고산식물과 바위에 붙어 사는 다육식물 등 1000여 종이 전시되어 있다. 고층습지는 백두산 장지 연못을 생태적으로 재현하였고, 고산습원은 고산의 작은 계류와 그 주변의 습원을 응용하여 조성하였다. 습지원은 수서곤충과 물고기,양서류,파충류 등의 서식처로 조성되었다.

들꽃동산에서는 다양한 야생화를, 만병초원에서는 고산성 진달래과에 속하는 400여 종의 만병초를 감상할 수 있다. 연못정원은 50여 종의 수련이 품종별로 심어져 있고, 이끼원은 열대우림이나 깊은 계곡 주변의 이끼를 재현한 곳이다. 화이트가든은 흰진달래,흰용머리,흰붓꽃 등 순수와 청결을 상징하는 흰색 꽃을 피우는 식물만 전시한 공간이다.

개장 시간은 주중/주말 오전 9시~ 오후 6시, 연중 무휴. 인근에 산정호수,명성산,한탄강,화적연,종자산,백운산계곡,백운사,선유담,국망봉자연휴양림 등이 있다. 경기도 포천시 영북면 우물목길 171-18 평강랜드.

20인 이상 단체 할인됩니다.

관람시간
주중/주말 - 09:00~18:00",https://ldb-phinf.pstatic.net/20220321_77/1647846984260aq0UX_JPEG/416A0926.JPG,309161,550138
율동공원,경기,경기도 성남시 분당구 율동 산91-1,,"여행,명소","""애견동반하여 산책하기 참좋아여.""",,"총넓이는 263만 7316㎡이다. 이중 공원시설로 개발된 넓이는 30만 8648㎡이다. 1996년 12월부터 공사를 시작하여 1999년 8월 30일에 개원하였다. 호수와 잔디밭·야산 등 원래의 자연을 최대한 살려 경치가 아름답다.

주요 시설로는 잔디광장 3곳과 사계절꽃동산·갈대밭·휴게소 3곳·분수대 등이 있다. 체육시설로는 배드민턴장과 국궁장·발지압장 등이 있으며, 이밖에도 어린이놀이터 2곳과 번지점프대·주차장 3곳을 갖추고 있다. 특히 주차장은 1000여 대를 수용할 수 있어 주말에 자동차를 이용하여 나들이를 오는 가족 단위의 관람객이 많다.

1999년 8월 개장한 번지점프대는 45미터로 당시 국내 최대 높이를 자랑했다. 율동호수를 바라보며 곧장 뛰어내리도록 되어 있어 점프장면을 관람하기 위하여 찾는 관광객도 적지 않다. 특히 텔레비전 연예오락 프로그램 촬영지로 유명하다.

운영시간은 오전 10시~오후 9시(주말은 10시)이다. 분수대의 물줄기가 최고 103m까지 솟는 것이 볼 만하다. 호수 주변으로는 2.5㎞의 산책로와 자전거전용도로가 조성되어 있다. 지하철 분당선 서현역에서 버스로 15분 거리에 있으며, 인근에 중앙공원·토지박물관 등이 있다.",https://ldb-phinf.pstatic.net/20150831_162/1441007218489a3o9w_JPEG/11622435_0.jpg,325163,531047
프렌쥬랜드,인천,인천광역시 강화군 길상면 선두리 655-7,,"여행,명소","""... 느낌적인 느낌이라 좋앗고ㅋㅋㅋㅋ강아지 동반가능인게 매우 좋았 ...""",http://프렌쥬랜드.gajagaja.co.kr/,"강화도 유일한 국가인증 정식 동물원!

동물교감체험 프렌쥬랜드 입니다.

매주 월요일 휴무(공휴일제외)

운영시간 10~18시 (입장마감 17시까지입니다)",https://ldb-phinf.pstatic.net/20201005_172/1601862325558tqxVB_JPEG/83vyYXMmm0FrW6_w1E1OO1u6.jpg,266570,559165
인천대공원 어린이동물원,인천,인천광역시 남동구 장수동 산112-3 인천대공원사업소,,"여행,명소","""어린이를 동반하기좋고 재미있습니다.""",http://grandpark.incheon.go.kr/articles/3716,,http://blogfiles.naver.net/MjAxODAxMDJfNDMg/MDAxNTE0ODcyMTkyMDE4.S70zYAqtHve_zI6aOILRrGzEftQkXVY_JufCoaCKW_Ug.zk8IuKlz3mAGxN7vU-uiMxPOmRqfhg2lpJCc39C4h3wg.JPEG.jkminiss/3C4E6035.jpg#900x600,290188,539279
