애견카페히릿 건대점,서울,서울특별시 광진구 화양동 111-72 3층,,애견전용,"음료미포함 입장료 7,500 | 음료포함 입장료 9,000 | 애견수제간식 小 3,000",매일 11:00~22:00,http://cafehirit.modoo.at/,"초소형견부터 초대형견까지 다양한 견종들을 만나보실 수 있습니다.
애견카페 히릿에서 사랑스러운 강아지들과 힐링하고 가세요^^
애견놀이방, 호텔 운영합니다.",https://ldb-phinf.pstatic.net/20161219_44/1482132766466FrBy4_JPEG/177169566266344_0.jpeg,318394,549826
더귀여워 애견카페,서울,서울특별시 마포구 서교동 409-1,,애견전용,"아메리카노 8,000 | 카페라떼 9,000 | 캬라멜마끼아또 9,000 | 바닐라라떼 9,000 | 아이스티 8,000 | 페리에 8,000 | 탄산음료 8,000 | 사과주스 8,000 | 초콜렛라떼 9,000 | 레모네이드 10,000 | 자몽에이드 10,000 | 레몬차 9,000 | 자몽차 9,000 | 페퍼민트 9,000 | 카모마일 9,000 | 얼그레이 9,000",매일 12:30~21:00,http://instagram.com/thecute_hongdae,"깔끔하고 넓은 홍대 애견카페 THE 귀여워입니다.

The 귀여워 이용안내

- 애견동반 불가
   안전 문제로 외부견의 입장이 불가합니다.

- 주차공간
   매장 전용 주차장이 없습니다.
   가까운 공영주차장 이용해 주세요.

- 키즈 에티켓
   13세 미만의 어린이는 부모님과 입장 가능합니다.
   각별한 주의 부탁드리며 부주의로 인한 사고
   발생 시 책임지지 않습니다.

- 외부 음식, 외부 간식 반입 금지입니다.
   카운터에 맡겨주세요.

- 이용 시간
   다음 손님을 위하여 이용 시간 2시간으로 제한됨을
   안내드립니다.
    <시간 연장을 원하시는 분은 재주문 후 이용
     해주시길 바랍니다.>",https://ldb-phinf.pstatic.net/20200701_88/1593591063368K3uAf_JPEG/I5w7mBo9VKhr6Q-rYz26pJLE.jpg,304955,550310
겨울이 머무는 집,서울,서울특별시 마포구 서교동 409-18,0507-1315-9151,애견전용,"입장료(음료 미포함) 12,000",매일 13:00~22:00,,"1. 겨울이 머무는 집은 애견동반카페가 아닙니다. 외부견의 출입은 절대 불가합니다.
2. 안전사고 예방을 위해 10세(초등학교 3학년)부터 입장이 가능하며 초등학생은 보호자 동반시에만 입장만 가능합니다. 임산부 등 노약자의 출입이 제한됩니다.
3. 주차는 안됩니다.
4. 아이들이 실외에서 배변활동을 하는 시간에는 출입이 통제됩니다.
    ( 14:50~15:10 / 17:20~17:40 / 19:30~19:50 내부 사정에 따라 시간은 변동될 수 있습니다.)
5. 20시 30분 부터는 아이들의 산책시간으로 소란스러울 수 있으니 양해부탁드립니다.",https://ldb-phinf.pstatic.net/20210520_277/1621492591538nnboF_PNG/9h3WPVO7cqmXtPE8xkpjOeC8.png,304933,550299
더왈츠,서울,서울특별시 강남구 역삼동 834-8,,애견전용,"아메리카노 12,000 | 카페라떼 13,000 | 바닐라라떼 14,000 | 카라멜마끼아또 14,000 | 카페모카 14,000 | 에이드 14,000 | 스무디 15,000 | 초코라떼 14,000 | 그린티라떼 14,000 | 고구마라떼 14,000 | 민트초코라떼 14,000 | 과일티 14,000 | 허브티 14,000",매일 12:00~21:00 애견카페 이용시간 | 매일 08:00~21:30 애견위탁 이용시간,http://cafe.naver.com/thewalz,강남에서 가장 오래된 반려견카페 더왈츠는 언제나 고객들과 반려견들이 행복한 공간을 만들기 위해 노력하고 있습니다.,https://ldb-phinf.pstatic.net/20180402_240/1522677111470vKYxy_JPEG/VuEnIeyUh6mVJM-zvomgQ8Jl.JPG.jpg,314806,543993
애니멀고파크 삼성점,서울,서울특별시 강남구 삼성동 60-24,0507-1438-5961,애견전용,"아메리카노 6,800 | 카페라떼 7,500 | 강아지목욕 변동가격(업주문의) | 강아지미용 33,000 | 강아지호텔 25,000",매일 10:00~23:00,http://animalgo.io,"[애니멀고 X LG U+] 제휴 이벤트 진행중^^
VIP 구독 서비스 혜택이 팡팡!
(매월 호텔, 목욕, 음료, 상품할인 등은 물론, 펫케어IoT까지 준다고?!)

유치원, 카페, 미용, 호텔을 한 곳에서!

도보 3분거리에 공영주차장이 있어 편리합니다.
(공영주차장 주소 : 삼성로 628)

강아지 동반 가능하고, 강아지가 없어도 카페에 놀러오세요!

※전문 훈련사 상주※
애니멀고파크 훈련사들이 강아지별 성격을 체크하고, 세심하게 개별 맞춤교육을 진행합니다.
넓은 놀이공간이 있고, 여름에는 수영장도 오픈합니다*^^*

매일매일 어떤 놀이를 했는지, 어떤 친구들과 놀았는지 꼼꼼한 알림장을 작성하고 있어요.

※이번 여행은 애니멀고 호텔과 함께※
애니멀고 호텔에 아이들을 맡기고 마음편히 휴가를 즐기고 오세요.
프리미엄 펫시터가 상주해, 주야간으로 최고급 수제간식을 제공합니다.
좁은 곳에 갇혀있지 않고 친구들과도 즐겁게 보낼수 있어요.",https://ldb-phinf.pstatic.net/20191231_24/1577759382387MqYp2_PNG/0-aTibcf8TOOkYmBVO7nAIfC.png,316564,546640
혼자두면장판뜯어서차린개카페,서울,서울특별시 관악구 봉천동 959-2 3층,0507-1400-3058,애견전용,"콜라, 사이다, 웰치스(포도.딸기) 11,000 | 환타(파인애플, 오렌지) 11,000 | 칸타타, 고티카 11,000 | 페리에 12,000 | 아리조나 그린티, 라즈베리, 레몬 12,000 | 럭시암바질씨드, 코코넛 12,000 | 로리나 오렌지에이드 13,000 | 로리나 핑크레몬에이드 13,000 | 사과주스, 사과탄산주스 13,000","매일 11:00~22:00 카페 연중무휴 | 매일 08:30~22:00 운동장.호텔,유치원,수영장,애견미용,훈련",http://애견카페.kr,"우리집 댕댕이들이 뛰어놀 수 있는 청결하고 냄새안나는 곳을 만들기 위해 애견까페를 열었습니다.
대형견도 편하게 목욕할 수 있는 하이드로바스와 대형 드라이룸.에어탱크를 구비.

매일 물청소와 소독.

서울에서 대형 수영장.

뚜벅이족을 위한 호텔.유치원 무료픽업 서비스.

댕댕이들을 위한 공간을 만들기 위해 노력했습니다.

서비스 : 주차.호텔.하이드로바스.셀프목욕.애견미용.유치원.대형수영장
010-2400-9999로 연락주시면 친절히 상담해드리겠습니다",https://ldb-phinf.pstatic.net/20180928_117/1538138692992UPLMU_JPEG/amBkC5axAr0RHvYejzB-BBk9.jpg,306073,543094
강아지똥 애견카페,서울,서울특별시 강남구 논현동 170,0507-1301-3595,애견전용,"아메리카노+입장료 9,000",매일 10:00~23:00 | 주말 10:00~24:00,https://blog.naver.com/mungmung8844,"안녕하세요.
서울 강남구 논현동 논현초등학교에 바로 맞은편에 위치한 애견카페 , 애견호텔 강아지똥입니다.
바로 앞에 공용주차장이 있어서 고객님들의 편안한 주차 가능하십니다 :-)
커피 드실 수 있는 공간 및 흡연실이 따로 마련되어 있습니다.
넓은 애견호텔은 cctv 녹화가 24시간 되고 있어서
안심하고 애기들을 맡겨 놓으실 수 있으세요~
가족분들의 편안한 소통공간을 위해 노력하겠습니다 ^^

* 프불,보테,웰시,진도,시바견 및 10kg이상의 아이들은 입장불가합니다. 이외 중형견은 문의부탁드립니다.",https://ldb-phinf.pstatic.net/20220731_130/1659247782237mTUNv_JPEG/1659247408084.jpg,314196,545579
도그존,서울,서울특별시 송파구 잠실동 204-8 번지  2층,0507-1398-0310,애견전용,"입장료 8,000",매일 12:00~21:00 | 화요일 휴무 공휴일정상영업,,"애견카페,애견호텔,애견용품,데이캐어,애견 놀이터, 고양이카페 등을 이용할수 있는 공간입니다",https://ldb-phinf.pstatic.net/20200421_37/1587398052495Mp52d_JPEG/hBk2YYIHOeYADeFJFBFXScUd.jpg,319145,545617
구름뜬하늘,서울,서울특별시 마포구 서교동 339-5,,애견전용,"아메리카노(입장료포함) 11,000 | 카페라떼(입장료포함) 11,500 | 바닐라라떼(입장료포함) 12,000 | 카페모카(입장료포함) 12,000 | 카라멜 마끼아또(입장료포함) 12,000","평일 11:00~22:00 | 공휴일 11:00~22:00 | 화요일 휴무 (매달 두번쨰, 네번째 화요일)",http://www.instagram.com/youngsoo0319,"대형견카페(알래스칸말라뮤트, 올드잉글리쉬쉽독, 코카스파니엘, 골든두들, 푸들
보더콜리, 웰시코기, 슈나우저, 레드말라뮤트, 사모예드, 버니즈마운틴독,비숑) 등
다양한견종이 한곳에 모여있는 곳",https://ldb-phinf.pstatic.net/20170818_267/1503020160781AoD3z_JPEG/sWrykMgOW4xNMLN1pJ1Ygtcs.jpg,305403,550759
봉브라더스,서울,서울특별시 강남구 논현동 181-12 2층,0507-1426-0889,애견전용,"애견카페 10,000 | 애견놀이방 4,000 | 애견호텔 40,000 | 애견미용 변동가격(업주문의) | 애견용품및의류 변동가격(업주문의) | 반려견 픽업서비스 변동가격(업주문의)",매일 10:00~24:00 연중무휴,http://www.instagram.com/bongbrothers89,"*강남 논현동에 위치한 최고의 시설을 갖춘 애견카페 봉브라더스입니다.
*애견놀이방/애견호텔/애견미용/일부용품 및 간식이 마련되어있습니다.
*픽업서비스 애견월놀이방/호텔/미용
*주자 가능합니다.
*넓은 테라스 흡연실도 완비되어 있습니다.
*맛있고 다양한 커피와 음료, 간단한 식사도 준비되어 있습니다.
*10kg미만 중소형견만 입장 가능합니다.<일부중형견 입장불가 견종있으니 문의바랍니다>",https://ldb-phinf.pstatic.net/20200131_147/1580453418029Jk2fS_JPEG/z1vuZ83HNMj75U-lwfdlfyn_.jpg,314110,545465
